[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002100s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002692s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017003s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_end ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002444s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002749s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run CheckRoute Behavior [ RunTime:0.003808s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.005356s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002670s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run CheckLang Behavior [ RunTime:0.006766s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012154s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.013899s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.000813s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.002528s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.002761s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.028239s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028500s ]
