[ 2012-10-24T10:18:20+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-10-24T10:18:20+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001297s ]
[ 2012-10-24T10:18:20+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002744s ]
[ 2012-10-24T10:18:20+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004234s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --START--
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000895s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001013s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000528s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run CheckLang Behavior [ RunTime:0.001644s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002292s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | NOTIC: [8] Undefined index:  STATUS LoginAction.class.php 第 9 行.
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --START--
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001102s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001175s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.001544s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001617s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000697s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000952s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000578s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000774s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003187s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --START--
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000780s ]
[ 2012-10-24T10:18:27+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000846s ]
[ 2012-10-24T10:18:28+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-10-24T10:18:28+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000896s ]
[ 2012-10-24T10:18:28+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001020s ]
[ 2012-10-24T10:18:28+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-24T10:18:28+08:00 ] /index.php/Admin/login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000545s ]
[ 2012-10-24T10:18:28+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.001863s ]
[ 2012-10-24T10:18:28+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002557s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ route_check ] --START--
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001067s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001218s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000833s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run CheckLang Behavior [ RunTime:0.001737s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002730s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_template ] --START--
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001167s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001254s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.001601s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001705s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000842s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000877s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000583s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000773s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003285s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_end ] --START--
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001040s ]
[ 2012-10-24T10:18:38+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001137s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Tag[ route_check ] --START--
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Run CheckRoute Behavior [ RunTime:0.000899s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.001013s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Tag[ app_begin ] --START--
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000553s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Run CheckLang Behavior [ RunTime:0.001631s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002309s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.003614s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.001966s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_template ] --START--
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.001286s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.001399s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_parse ] --START--
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.001650s ]
[ 2012-10-24T10:18:39+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001751s ]
