[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003071s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ route_check ] --START--
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run CheckRoute Behavior [ RunTime:0.000921s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.001039s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ app_begin ] --START--
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000655s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run CheckLang Behavior [ RunTime:0.001676s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002513s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.003363s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.000246s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_template ] --START--
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.001784s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.001878s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_parse ] --START--
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.014492s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014599s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_filter ] --START--
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run ContentReplace Behavior [ RunTime:0.000412s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run TokenBuild Behavior [ RunTime:0.000400s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000227s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run ShowRuntime Behavior [ RunTime:0.000471s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001699s ]
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_end ] --START--
[ 2012-10-19T17:45:17+08:00 ] /index.php/Admin/index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.000451s ]
