[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001646s ]
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --START--
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000428s ]
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000492s ]
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001253s ]
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001398s ]
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000546s ]
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.001586s ]
[ 2012-10-23T09:57:22+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002255s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000887s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001006s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000588s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run CheckLang Behavior [ RunTime:0.001612s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002331s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_template ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000830s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000928s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.001207s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001281s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000324s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000369s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000227s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000470s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001573s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_end ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000456s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000524s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run CheckRoute Behavior [ RunTime:0.001221s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.001409s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000562s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run CheckLang Behavior [ RunTime:0.001622s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002327s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.003672s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.017064s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_template ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.001240s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.001347s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.001466s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001544s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run ContentReplace Behavior [ RunTime:0.000383s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run TokenBuild Behavior [ RunTime:0.000420s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000231s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run ShowRuntime Behavior [ RunTime:0.000451s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001676s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_end ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.000449s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.000517s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run CheckRoute Behavior [ RunTime:0.001176s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.001310s ]
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T09:57:31+08:00 ] /index.php/Admin/index/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000543s ]
